# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
2.432204e+01	6.429219e-28
2.437811e+01	6.476723e-28
2.443431e+01	6.516459e-28
2.449063e+01	6.564318e-28
2.454709e+01	6.612371e-28
2.460368e+01	6.652564e-28
2.466039e+01	6.700971e-28
2.471724e+01	6.749571e-28
2.477422e+01	6.790219e-28
2.483133e+01	6.839172e-28
2.488857e+01	6.888317e-28
2.494595e+01	6.937655e-28
2.500345e+01	6.978914e-28
2.506109e+01	7.027768e-28
2.511886e+01	7.076798e-28
2.517677e+01	7.126003e-28
2.523481e+01	7.167140e-28
2.529298e+01	7.216666e-28
2.535129e+01	7.266366e-28
2.540973e+01	7.316240e-28
2.546830e+01	7.366287e-28
2.552701e+01	7.416508e-28
2.558586e+01	7.466901e-28
2.564484e+01	7.509027e-28
2.570396e+01	7.559737e-28
2.576321e+01	7.610617e-28
2.582260e+01	7.661669e-28
2.588213e+01	7.712891e-28
2.594179e+01	7.764286e-28
2.600160e+01	7.815848e-28
2.606154e+01	7.867581e-28
2.612161e+01	7.919484e-28
2.618183e+01	7.971553e-28
2.624219e+01	8.023792e-28
2.630268e+01	8.076198e-28
2.636331e+01	8.128774e-28
2.642409e+01	8.181514e-28
2.648500e+01	8.243256e-28
2.654606e+01	8.296357e-28
2.660725e+01	8.349626e-28
2.666859e+01	8.403058e-28
2.673006e+01	8.456656e-28
2.679168e+01	8.510418e-28
2.685344e+01	8.564344e-28
2.691535e+01	8.627464e-28
2.697739e+01	8.681744e-28
2.703958e+01	8.736188e-28
2.710192e+01	8.790792e-28
2.716439e+01	8.845558e-28
2.722701e+01	8.909656e-28
2.728978e+01	8.964774e-28
2.735269e+01	9.020050e-28
2.741574e+01	9.084741e-28
2.747894e+01	9.140362e-28
2.754229e+01	9.196145e-28
2.760578e+01	9.261424e-28
2.766942e+01	9.317548e-28
2.773320e+01	9.373830e-28
2.779713e+01	9.439691e-28
2.786121e+01	9.496315e-28
2.792544e+01	9.562572e-28
2.798981e+01	9.619533e-28
2.805434e+01	9.676649e-28
2.811901e+01	9.743482e-28
2.818383e+01	9.800933e-28
2.824880e+01	9.868154e-28
2.831392e+01	9.925938e-28
2.837919e+01	9.993548e-28
2.844461e+01	1.005167e-27
2.851018e+01	1.011966e-27
2.857591e+01	1.018786e-27
2.864178e+01	1.024648e-27
2.870781e+01	1.031506e-27
2.877398e+01	1.037401e-27
2.884032e+01	1.044297e-27
2.890680e+01	1.051214e-27
2.897344e+01	1.057158e-27
2.904023e+01	1.064113e-27
2.910717e+01	1.071087e-27
2.917427e+01	1.077080e-27
2.924152e+01	1.084092e-27
2.930893e+01	1.091123e-27
2.937650e+01	1.098174e-27
2.944422e+01	1.104234e-27
2.951209e+01	1.111322e-27
2.958012e+01	1.118430e-27
2.964831e+01	1.125557e-27
2.971666e+01	1.132704e-27
2.978516e+01	1.139870e-27
2.985383e+01	1.146028e-27
2.992265e+01	1.153230e-27
2.999163e+01	1.160452e-27
3.006076e+01	1.167733e-27
3.013006e+01	1.175040e-27
3.019952e+01	1.182367e-27
3.026913e+01	1.189713e-27
3.033891e+01	1.197078e-27
3.040885e+01	1.204463e-27
3.047895e+01	1.211866e-27
3.054921e+01	1.219289e-27
3.061963e+01	1.226731e-27
3.069022e+01	1.234191e-27
3.076097e+01	1.241671e-27
3.083188e+01	1.249169e-27
3.090295e+01	1.256686e-27
3.097419e+01	1.264222e-27
3.104560e+01	1.272857e-27
3.111716e+01	1.280433e-27
3.118890e+01	1.288027e-27
3.126079e+01	1.295640e-27
3.133286e+01	1.303270e-27
3.140509e+01	1.312014e-27
3.147748e+01	1.319684e-27
3.155005e+01	1.327372e-27
3.162278e+01	1.335078e-27
3.169567e+01	1.343908e-27
3.176874e+01	1.351652e-27
3.184198e+01	1.359415e-27
3.191538e+01	1.368308e-27
3.198895e+01	1.376109e-27
3.206269e+01	1.383928e-27
3.213661e+01	1.392885e-27
3.221069e+01	1.400741e-27
3.228494e+01	1.408615e-27
3.235937e+01	1.417635e-27
3.243396e+01	1.425547e-27
3.250873e+01	1.434609e-27
3.258367e+01	1.442558e-27
3.265878e+01	1.451662e-27
3.273407e+01	1.459647e-27
3.280953e+01	1.468794e-27
3.288516e+01	1.477963e-27
3.296097e+01	1.486004e-27
3.303695e+01	1.495214e-27
3.311311e+01	1.503292e-27
3.318945e+01	1.512543e-27
3.326596e+01	1.521816e-27
3.334264e+01	1.529949e-27
3.341950e+01	1.539262e-27
3.349654e+01	1.548598e-27
3.357376e+01	1.556785e-27
3.365116e+01	1.566161e-27
3.372873e+01	1.575558e-27
3.380648e+01	1.584976e-27
3.388442e+01	1.593235e-27
3.396253e+01	1.602693e-27
3.404082e+01	1.612172e-27
3.411929e+01	1.621672e-27
3.419794e+01	1.631194e-27
3.427678e+01	1.640735e-27
3.435579e+01	1.650298e-27
3.443499e+01	1.658683e-27
3.451437e+01	1.668283e-27
3.459394e+01	1.677906e-27
3.467369e+01	1.687548e-27
3.475362e+01	1.697210e-27
3.483373e+01	1.706894e-27
3.491403e+01	1.716596e-27
3.499452e+01	1.726320e-27
3.507519e+01	1.737282e-27
3.515604e+01	1.747047e-27
3.523709e+01	1.756833e-27
3.531832e+01	1.766638e-27
3.539973e+01	1.776463e-27
3.548134e+01	1.786307e-27
3.556313e+01	1.796171e-27
3.564511e+01	1.807292e-27
3.572728e+01	1.817197e-27
3.580964e+01	1.827123e-27
3.589219e+01	1.837067e-27
3.597493e+01	1.847031e-27
3.605786e+01	1.858263e-27
3.614099e+01	1.868267e-27
3.622430e+01	1.878290e-27
3.630781e+01	1.889589e-27
3.639150e+01	1.899653e-27
3.647539e+01	1.910997e-27
3.655948e+01	1.921101e-27
3.664376e+01	1.931223e-27
3.672823e+01	1.942633e-27
3.681290e+01	1.952795e-27
3.689776e+01	1.964249e-27
3.698282e+01	1.974450e-27
3.706807e+01	1.985949e-27
3.715352e+01	1.996189e-27
3.723917e+01	2.007731e-27
3.732502e+01	2.019296e-27
3.741106e+01	2.029595e-27
3.749730e+01	2.041204e-27
3.758374e+01	2.051542e-27
3.767038e+01	2.063193e-27
3.775722e+01	2.074867e-27
3.784426e+01	2.085263e-27
3.793150e+01	2.096980e-27
3.801894e+01	2.108719e-27
3.810658e+01	2.120480e-27
3.819443e+01	2.130953e-27
3.828247e+01	2.142757e-27
3.837072e+01	2.154582e-27
3.845918e+01	2.166430e-27
3.854784e+01	2.178299e-27
3.863670e+01	2.190191e-27
